              Procedure           Image            Address        Calls Instructions
_ZNSt6locale5_ImplC1Em@plt  libstdc++.so.6       7fa3df4cdb20            1            3
_ZNSt6locale5facet13_S_get_c_nameEv@plt  libstdc++.so.6       7fa3df4cdaf0            7            9
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale@plt  libstdc++.so.6       7fa3df4cda90            4            6
__cxa_guard_release@plt  libstdc++.so.6       7fa3df4cda50            1            3
 _ZNSt8ios_baseC2Ev@plt  libstdc++.so.6       7fa3df4cda10            9           11
   _ZNSo6sentryD1Ev@plt  libstdc++.so.6       7fa3df4cd9a0            3            5
_ZNSt12__basic_fileIcE4openEPKcSt13_Ios_Openmodei@plt  libstdc++.so.6       7fa3df4cd950            1            3
             malloc@plt  libstdc++.so.6       7fa3df4cd920            7            9
               read@plt  libstdc++.so.6       7fa3df4cd900            1            3
_ZNSt3_V214error_categoryD2Ev@plt  libstdc++.so.6       7fa3df4cd860            3            5
